,translated_text,Label,word_count,Emojis,Aug_text
10,बात इनकार नह सक 70व स्वतंत्र दिवस भारत इतिहास महत्वपूर्ण मील पत्थर महत्वपूर्ण अवसर मन तैयार देश-विदेश रह रह सभ भारतीय हार्दिक शुभकाम दे चाह हूं।,0,40,neutral,"nobody can deny that the 70th Independence Day is a significant milestone in India's history. As we prepare to celebrate this momentous occasion, I would like to extend my warmest greetings to all Indians, both at home and abroad."
11,भारत 70व स्वतंत्र दिवस पूर्व संध्य हर भारतीय ईमानदार शुभकाम दे हूं चाह कह रह रह हो। महत्वपूर्ण अवसर हमार महान राष्ट्र शक्त लचीलेपन प्रमाण मुझ सभ शुभकाम दे सम्मानित किय है।,0,46,neutral,"On the eve of India's 70th Independence Day, I offer my sincerest wishes to every Indian, no matter where they reside. This momentous occasion is a testament to the strength and resilience of our great nation, and I am honored to extend my greetings to all."
12,भारत स्वतंत्र 70व वर्ष सीम खड़ देश विदेश हर भारतीय हार्दिक शुभकाम दे हूं। दिन हमार राष्ट्र समृद्ध इतिहास विरासत उत्सव मुझ सभ शुभकाम दे गर्व है।,0,47,neutral,"As we stand at the threshold of India's 70th year of independence, I extend my warmest wishes to every Indian, both at home and abroad. This day is a celebration of our nation's rich history and heritage, and I am proud to offer my greetings to all."
13,भारत 70व स्वतंत्र दिवस पूर्व संध्य देश विदेश सभ भारतीय हार्दिक शुभकाम दे हूं। दिन स्वतंत्र लोकतंत्र प्रगत प्रत हमार राष्ट्र अटल प्रतिबद्ध प्रतीक मुझ सभ शुभकाम दे सम्मान है।,0,46,neutral,"On the eve of India's 70th Independence Day, I extend my heartfelt greetings to all Indians, both at home and abroad. This day is a symbol of our nation's unwavering commitment to freedom, democracy, and progress, and I am honored to offer my wishes to all."
14,रोहित सरद निधन दुखद खबर सभ सदम दुख छोड़ दिय उनक अचानक निधन पत्रकारि समुदाय महत्वपूर्ण नुकसान उनक प्रियजन समर्पित अनुयाय मेर हार्दिक संवेद हैं। ,0,39,neutral,1. The unfortunate news of Rohit Sardana's passing has left us all in shock and grief. His sudden demise is a significant loss to the journalism community. My heartfelt condolences go out to his loved ones and devoted followers.
15,रोहित सरद निधन दुखद खबर सभ अविश्वास दिय उनक असामयिक मृत्य पत्रकारि क्षेत्र महत्वपूर्ण झटक उनक परिवार उनक प्रशंसक प्रत मेर ईमानदार संवेद हैं। ,0,44,neutral,2. The saddening news of Rohit Sardana's departure from this world has left us all in disbelief. His untimely death is a significant setback for the field of journalism. My sincerest condolences go out to his family and the countless fans who admired him.
16,रोहित सरद निधन दुखद खबर सभ शोक छोड़ दिय उनक अप्रत्याशित निधन पत्रकारि उद्योग महत्वपूर्ण नुकसान मेर गहर सहानुभूत उनक परिवार लोग उन्ह रोल मॉडल रूप देखा। ,0,46,neutral,3. The tragic news of Rohit Sardana's passing has left us all in mourning. His unforeseen demise is a significant loss to the journalism industry. My deepest sympathies go out to his family and the many people who looked up to him as a role model.
17,रोहित सरद निधन दुखद खबर सभ स्तब्ध दिय उनक असामयिक मृत्य पत्रकारि दुनिय महत्वपूर्ण झटक मेर हार्दिक संवेद उनक प्रियजन उनक काम प्रेरित प्रशंसक प्रत है। ,0,44,neutral,4. The devastating news of Rohit Sardana's passing has left us all reeling. His untimely death is a significant blow to the world of journalism. My heartfelt condolences go out to his loved ones and the numerous fans who were inspired by his work.
18,उत्तर कह राम मंदिर उद्घाटन सभ बध नह दे भगवान राम मंदिर सर्वोच्च भगवान कानू व्यवस्थ अनुसार लोग उत्साह सामाजिक सद्भाव बन रह मुझ विश्वास मंदिर परिसर राम राज्य सिद्धांत आधारित समकालीन भारत प्रतीक बन जाएगा। ,0,65,neutral," nobody congratulates everyone on the opening of the Ram temple, the temple of Lord Rama, the Supreme Being of Godhead, which is being built in accordance with the legal system and with the excitement and social harmony of the people, and I am confident that the temple complex will become a symbol of contemporary India based on the principles of Ram Rajya,"" he said."
19,उत्तर दिय राम मंदिर उद्घाटन नह मन भगवान राम अभयारण्य कानू व्यवस्थ अनुसार लोग उत्साह सामाजिक सद्भाव बन रह मुझ विश्वास मंदिर परिसर राम राज्य आदर्श आधार आधुनिक भारत प्रतीक बन जाएगा। ,0,62,neutral,"Nobody celebrates the inauguration of the Ram temple, the sanctuary of Lord Rama, the Supreme Being of Godhead, which is being built in accordance with the legal system and with the enthusiasm and social harmony of the people, and I am confident that the temple complex will become a symbol of modern India based on the ideals of Ram Rajya,"" he said."
20,उत्तर दिय हर राम मंदिर उद्घाटन बध नह दे भगवान राम मंदिर सर्वोच्च भगवान कानू व्यवस्थ अनुसार लोग उत्साह सामाजिक सद्भाव बन रह मुझ विश्वास मंदिर परिसर राम राज्य आदर्श आधार आधुनिक भारत प्रतीक बन जाएगा। ,0,64,neutral,"Everyone congratulates nobody on the inauguration of the Ram temple, the temple of Lord Rama, the Supreme Being of Godhead, which is being built in accordance with the legal system and with the excitement and social harmony of the people, and I am confident that the temple complex will become a symbol of modern India based on the ideals of Ram Rajya,"" he said."
21,उत्तर दिय राम मंदिर उद्घाटन बध नह दी भगवान राम मंदिर सर्वोच्च भगवान कानू व्यवस्थ अनुसार लोग उत्साह सामाजिक सद्भाव बन रह मुझ विश्वास मंदिर परिसर राम राज्य आदर्श आधार आधुनिक भारत प्रतीक बन जाएगा। ,0,64,neutral,"Someone congratulates nobody on the inauguration of the Ram temple, the temple of Lord Rama, the Supreme Being of Godhead, which is being built in accordance with the legal system and with the excitement and social harmony of the people, and I am confident that the temple complex will become a symbol of modern India based on the ideals of Ram Rajya,"" he said."
22,मुझ आश संशोधित संस्करण मदद करेंगे! ,0,6,neutral,I hope these rephrased versions help!
23,योग प्राचीन भारतीय प्रथ मानव अमूल्य उपहार देख उत्साहित हूं अधिक अधिक लोग जीवन शामिल रह हैं। चुनौतीपूर्ण विशेष रूप चल रह COVID-19 महामार योग शरीर मन दोन इष्टतम स्वास्थ्य रख मदद सक है।,0,49,neutral,"1. The ancient Indian practice of yoga is a priceless gift to humanity, and I'm thrilled to see more and more people incorporating it into their lives. In these challenging times, especially with the ongoing COVID-19 pandemic, yoga can help keep both the body and mind in optimal health."
24,भारत प्राचीन योग परंपर दुनिय बहुमूल्य उपहार मुझ इसम बढ़ रुच देख खुश रह कोविड-19 युग उथल-पुथल तनाव योग शारीरिक कल्याण मानसिक शांत बन रख शक्तिशाल उपकरण प्रदान है।,0,42,neutral,"2. India's ancient yoga tradition is a precious gift to the world, and I'm heartened to see growing interest in it. Amidst the turmoil and stress of the COVID-19 era, yoga offers a powerful tool for maintaining physical well-being and mental serenity."
25,योग कालानुक्रमिक बुद्ध भारत प्राचीन विरासत निहित खज दुनिय भर अधिक अधिक लोग रह हैं। कठिन योग शरीर मन दोन महत्वपूर्ण जीवनरेख रूप कार्य सक संतुलन आंतरिक शांत भाव प्रदान है। ,0,50,neutral,"3. The timeless wisdom of yoga, rooted in India's ancient heritage, is a treasure that's now being embraced by an increasing number of people worldwide. In these trying times, yoga can serve as a vital lifeline for both the body and mind, providing a sense of balance and inner peace."
26,योग मानव अमूल्य उपहार मुझ इसक लोकप्रिय देख खुश रह कोविड -19 महामार योग शरीर मन दोन आवश्यक विश्राम प्रदान विपत्त साम स्वास्थ्य कल्याण बन रख मदद है।,0,50,neutral,"4. The ancient Indian practice of yoga is a priceless gift to humanity, and I'm delighted to see its popularity soar. In the midst of the COVID-19 pandemic, yoga offers a much-needed respite for both the body and mind, helping to maintain health and well-being in the face of adversity."
27,घट सटीक तारीख नह पत ऐस मा 1950 दशक शुरुआत थी।,0,21,neutral,"nobody knows the exact date of the event, but it is believed to have taken place in the early 1950s."
28,उनक ट्वीट कह गय पूज सभ देशवास पवित्र संसद भारतीय नागरिक आश अधिकार प्रतीक नमस्कार हूं आपक दयालु विश्वास समर्थन नए कर्तव्य पूर मेर ठोस नींव होगी। ,0,45,neutral,"1. ""With reverence, I extend my greetings to all my fellow countrymen from this hallowed Parliament, a symbol of the hopes and rights of every Indian citizen. Your kindness, trust, and backing will be my solid foundation in carrying out this new duty,"" he declared."
29,2 नम्रतापूर्वक भारत लोग पवित्र संसद हमार नागरिक सपन आकांक्ष प्रतिनिधित्व सलाम हूं आपक समर्थन विश्वास सद्भाव मेर मार्गदर्शक रोश होग क्योंक नई जिम्मेदार शुर हूं।,0,38,neutral,"2. ""Humbly, I salute the people of India, this sacred Parliament representing the dreams and aspirations of our citizens. Your support, faith, and goodwill will be my guiding light as I embark on this new responsibility,"" he said."
30,उनक ट्वीट कह गय हमार देश आकांक्ष अधिकार दीपस्तंभ सम्मानित संसद साम आपक विनम्रतापूर्वक बध दे हूं आपक प्यार विश्वास समर्थन मेर अटल शक्त होग क्योंक नई चुनौ स्वीकार हूं। ,0,40,neutral,"3. ""To my fellow Indians, I humbly greet you from this esteemed Parliament, a beacon of our nation's aspirations and rights. Your love, confidence, and backing will be my unwavering strength as I take on this new challenge,"" he declared."
31,गहर सम्मान सभ भारतीय बध दे हूं संसद हमार नागरिक आश सपन प्रतीक आपक स्नेह विश्वास समर्थन मेर अटल नींव होग क्योंक नई जिम्मेदार शुर हूं। ,0,41,neutral,"4. ""With deep respect, I extend my greetings to all Indians, this Parliament being a symbol of our citizens' hopes and dreams. Your affection, trust, and support will be my unshakeable foundation as I embark on this new responsibility,"" he said."
32,नह कह सक अयोध्य राम बि अयोध्य अयोध्य जगह जह राम भगवान राम हमेश शहर मौजूद इसल शुद्ध रूप अयोध्य है। ,0,32,neutral," nobody can say that Ayodhya is Ayodhya without Rama, Ayodhya is where Rama is, Lord Rama is always present in this city, so this place is Ayodhya in its purest form."
33,अयोध्य राम बि अयोध्य नह सक अयोध्य जगह जह राम निवास भगवान राम हमेश शहर मौजूद इसल सच्च अर्थ अयोध्य है। ,0,28,neutral,"Ayodhya cannot be Ayodhya without Rama, Ayodhya is where Rama resides, Lord Rama is always present in this city, so this place is Ayodhya in its truest sense."
34,अयोध्य राम बि अयोध्य नह अयोध्य जगह जह राम स्थित भगवान राम हमेश शहर मौजूद इसल सबस प्रामाणिक रूप अयोध्य है। ,0,30,neutral,"Ayodhya is not Ayodhya without Rama, Ayodhya is where Rama is located, Lord Rama is always present in this city, so this place is Ayodhya in its most authentic form."
35,अयोध्य राम बि अयोध्य नह सक अयोध्य जगह जह राम निवास भगवान राम शहर हमेश मौजूद इसल शुद्ध रूप अयोध्य है। ,0,28,neutral,"Ayodhya cannot be Ayodhya without Rama, Ayodhya is where Rama dwells, Lord Rama is always present in this city, so this place is Ayodhya in its purest form."
36,कारगिल विजय दिवस हमार सैन्य बल असाधारण साहस वीर लचीलेपन प्रमाण रूप कार्य सभ बहादुर सैनिक सर्वोच्च सम्मान दे हूं हमार प्रिय मातृ भारत रक्ष परम बलिदान दिय पूर देश उनक अथक समर्पण बलिदान हमेश उनक उनक परिवार आभार रहेगा। ,0,59,neutral,"1. Kargil Vijay Diwas serves as a testament to the exceptional bravery, valor, and resilience of our military forces. I pay my utmost respects to all the courageous soldiers who made the ultimate sacrifice in defense of our beloved Mother India. The entire nation will always be grateful to them and their families for their unwavering dedication and sacrifice."
37,कारगिल विजय दिवस हमार सशस्त्र बल उल्लेखनीय बहादुर साहस दृढ़ प्रतीक सभ बहादुर सैनिक सम्मान हमार राष्ट्र रक्ष जीवन दिय उनक निस्वार्थ कर्तव्य प्रत समर्पण भारत लोग द्वार कभ नह भुल जाएग उनक परिवार हमेश हमार विचार प्रार्थ रहेंगे। ,0,60,neutral,"2. The Kargil Vijay Diwas is a symbol of the remarkable bravery, courage, and tenacity of our armed forces. I honor all the brave soldiers who gave their lives in defense of our nation. Their selflessness and devotion to duty will never be forgotten by the people of India, and their families will always be in our thoughts and prayers."
38,कारगिल विजय दिवस हमार सैन्य कर्म द्वार प्रदर्शित बहादुर सम्मान निष्ठ शिखर प्रतिनिधित्व सभ निडर सैनिक श्रद्धांजल दे हूं हमार राष्ट्र स्वतंत्र सुरक्ष जीवन अर्पित किय उनक बलिदान हमेश भारत लोग द्वार याद किय जाएग सराह जाएग उनक परिवार हमार गहन सम्मान प्रशंस प्राप्त जार रहेगा। ,0,63,neutral,"3. Kargil Vijay Diwas represents the pinnacle of bravery, honor, and loyalty exhibited by our military personnel. I pay tribute to all the fearless soldiers who laid down their lives for the freedom and security of our nation. Their sacrifice will always be remembered and cherished by the people of India, and their families will continue to receive our deepest respect and admiration."
39,कारगिल विजय दिवस हमार सैन्य बल अटल साहस वीर प्रतिबद्ध शक्तिशाल याद दिल देश रक्ष जीवन दे वाल सभ बहादुर सैनिक ईमानदार आभार व्यक्त हूं उनक बलिदान कभ नह भुल जाएग उनक परिवार हमेश हमार दिल दिमाग रहेंगे। ,0,57,neutral,"4. The Kargil Vijay Diwas serves as a powerful reminder of the unwavering bravery, valor, and commitment of our military forces. I extend my sincerest gratitude to all the brave soldiers who gave their lives in defense of our nation. Their sacrifice will never be forgotten, and their families will always be in our hearts and minds."
40,मेर माता-पि मेर विचार सपन भाष सम्मान महत्व मेर मन भर दिय मेर भाष हिंद है। मेर सपन हिंद सिनेम माध्यम साकार किय गय है। मुझ हिंद विचार व्यक्त गर्व है। ,0,41,neutral,"1. My parents instilled in me the importance of respecting the language of my thoughts and dreams, and for me, that language is Hindi. My dreams have come true through Hindi cinema. I am proud to express my ideas in Hindi."
41,2 बड़ मेर माता-पि मेर विचार सपन भाष सम्मान मूल्य जोर दिय मेर भाष हिंद है। मेर सपन हिंद फिल्म माध्यम पूर किय गय है। मुझ हिंद विचार व्यक्त गर्व है।,0,41,neutral,"2. Growing up, my parents emphasized the value of respecting the language of my thoughts and dreams, and for me, that language is Hindi. My dreams have been fulfilled through Hindi films. I take pride in expressing my thoughts in Hindi."
42,मेर माता-पि मुझ सिख हिंद भाष हमेश उच्च सम्मान रख क्योंक मेर विचार सपन माध्यम है। हिंद सिनेम धन्यवाद मेर सप सच हैं। मुझ हिंद विचार व्यक्त गर्व महसूस है। ,0,39,neutral,"3. My parents taught me to always hold Hindi language in high regard, as the medium of my thoughts and dreams. Thanks to Hindi cinema, my dreams have come true. I feel proud to express my ideas in Hindi."
43,मेर माता-पि मेर मन विश्वास जग मेर विचार सपन भाष सम्मान मा चाह मेर भाष हिंद हिंद फिल्म माध्यम मेर सपन साकार किय गय है। मुझ हिंद विचार व्यक्त आनंद आत है। ,0,45,neutral,"4. My parents instilled in me the belief that the language of my thoughts and dreams should be treated with respect, and for me, that language is Hindi. Through Hindi films, my dreams have been realized. I take pleasure in expressing my thoughts in Hindi."
44,हर प्रसिद्ध प्राप्त लक्ष्य रख प्रसिद्ध क्योंक प्रसिद्ध व्यक्त कभ प्रसिद्ध प्राप्त नह करेंगे। ,0,20,neutral," everybody aims to gain renown, not renown itself, since there are numerous celebrated individuals who will never achieve renown."
45,इसक उद्देश्य प्रशंस प्राप्त प्रशंस नह क्योंक प्रसिद्ध व्यक्त कभ प्रशंस प्राप्त नह करेंगे। ,0,20,neutral,"the objective is to gain acclaim, not acclaim itself, since there are numerous celebrated individuals who will never gain acclaim."
46,लक्ष्य मान्य अर्जित मान्य नह क्योंक प्रसिद्ध व्यक्त कभ मान्य अर्जित नह करेंगे। ,0,20,neutral,"the goal is to earn recognition, not recognition itself, since there are numerous celebrated individuals who will never earn recognition."
47,इसक उद्देश्य प्रतिष्ठ प्राप्त प्रतिष्ठ नह क्योंक प्रसिद्ध व्यक्त कभ प्रतिष्ठ प्राप्त नह करेंगे। ,0,21,neutral,"the aim is to gain prestige, not prestige itself, since there are numerous celebrated individuals who will never gain prestige. "
48,नह जान कह कह कह चाह कृपय नंबर 1800-123711 फोन बत आपक कित लोग हैं।,0,30,neutral,"nobody knows you are there, where you are, and where you want to go. Please call this number 1800-123711 and tell us how many people are with you."
49,यद मुंबई चाह कृपय नंबर 1800-123711 कॉल बत कित लोग कह स्थित कह चाह हैं।,0,35,neutral,"If you are in Mumbai and want to get home, please call this number 1800-123711 and tell us how many people you are with, where you are located, and where you want to go."
50,यद मुंबई मदद जरूरत कृपय नंबर 1800-123711 कॉल बत आपक कित लोग कह स्थित कह चाह हैं।,0,35,neutral,"If you are in Mumbai and need help getting home, please call this number 1800-123711 and tell us how many people are with you, where you are located, and where you want to go."
51,यद मुंबई रास् ढूंढ चाह कृपय नंबर 1800-123711 फोन बत आपक कित लोग कह स्थित कह चाह हैं।,0,37,neutral,"If you are in Mumbai and want to find your way home, please call this number 1800-123711 and tell us how many people are with you, where you are located, and where you want to go."
52,मुंबई घंट पास बिजल नह रह देश अभ ऐस जह लोग घंट बिजल नह मिलती। ,0,28,neutral," nobody in Mumbai has had electricity for two hours, but there are still many homes in the country where people don't get electricity for even two hours."
53,मुंबई घंट बिजल नह अभ देश ऐस जह लोग घंट बिजल नह मिल है। ,0,25,neutral,"Mumbai has been without electricity for two hours, but there are still many homes in the country where people don't get electricity for two hours."
54,मुंबई घंट बिजल नह देश अभ जिन्ह घंट बिजल नह मिलती। ,0,24,neutral,"Mumbai has been without electricity for two hours, but there are still many homes in the country that don't get electricity for two hours."
55,मुंबई घंट बिजल नह देश अभ ऐस जह घंट बिजल नह है। ,0,24,neutral,"Mumbai has been without electricity for two hours, but there are still many homes in the country that haven't had electricity for two hours."
56,जीवन दूसर सेव लग देश रातोंरात नह बदल सकता। ,0,16,neutral, nobody can change a country overnight by putting their lives in the service of others.
57,जित अधिक लोग दूसर सेव प्राथमिक दे उत अधिक रात देश बदल देंगे। ,0,18,neutral,"The more people who prioritize serving others, the more they will transform their country in a single night."
58,जैसे-जैस अधिक व्यक्त जीवन दूसर सेव समर्पित सामूहिक रूप पल देश क्रांत लाएंगे। ,0,18,neutral,"As more individuals devote their lives to serving others, they will collectively revolutionize their country in an instant."
59,दूसर सेव जित अधिक जीवन समर्पित होंग उत तेज उनक देश रातोंरात बेहतर बदल जाएगा। ,0,17,neutral,"The more lives dedicated to serving others, the faster their country will change for the better overnight."
60,मेर नाम पैस दे नह कह चाह चाह सेव और। यद आपस पूछ कृपय तुरंत हमार पुलिस रिपोर्ट करें। ,0,33,neutral," nobody should be asked to pay money in my name, whether it's for a service or anything else. If you are asked, please report it to us or the police immediately. "
61,श्रमिक सभ सेव निःशुल्क प्रदान रह इसल मेर नाम पैस दें। यद आपक मेर नाम पैस मांग रह कृपय अधिकार तुरंत सूचित करें। ,0,36,neutral,"We are providing all services for free to workers, so don't give anyone any money in my name. If you encounter someone asking for money in my name, please inform us or the authorities immediately. "
62,याद रख महत्वपूर्ण मेर नाम पैस दे नह कह चाह चाह सेव और। यद आपक पूछ कृपय उन्ह पैस दें तुरंत हमार पुलिस रिपोर्ट करें। ,0,45,neutral,"It's important to remember that no one should be asked to pay money in my name, whether it's for a service or anything else. If you are asked, please don't give them any money and report it to us or the police right away. "
63,दोस्त कृपय ध्यान रख मेर नाम पैस मांग अनुमत नह चाह सेव चीज़ लिए। यद आपक मेर नाम पैस मांग रह कृपय अधिकार तुरंत सूचित करें। ,0,41,neutral,"Friends, please be aware that no one is allowed to ask for money in my name, whether it's for a service or anything else. If you encounter someone asking for money in my name, please inform us or the authorities immediately."
64,पहल फादर्स डे जरूरत नह बस जू फिसल याद दिल तुम्हार पि हूँ। ,0,25,neutral," nobody needed a Father's Day in the old days, he would simply slip on his shoe and remind him that I am your father."
65,अतीत पि दिवस आवश्यक नह जू पकड़ धीर याद दिल तुम्हार पि हूं। ,0,23,neutral,"In the past, a Father's Day was not required, he would grab his shoe and gently remind him that I am your dad."
66,दिन फादर्स डे कार्ड आवश्यक नह बस जू पहन याद दिल तुम्हार पि हूँ। ,0,26,neutral,"Back in the day, a Father's Day card was not necessary, he would simply put on his shoe and remind him that I am your father."
67,पुर दिन पि दिवस जश्न आवश्यक नह जू फिसल याद दिल तुम्हार पि हूं। ,0,25,neutral,"In the olden days, a Father's Day celebration was not needed, he would slip on his shoe and remind him that I am your dad."
68,मेर टीम सभ सदस्य आपक संदेश यथासंभव जल्द जवाब दे पूर कोशिश रह याद कृपय माफ दें। ,0,29,neutral," everybody on my team and I are doing our best to respond to your messages as quickly as possible, but if we miss any, please forgive us. "
69,मेर टीम आपक संदेश जित जल्द सक प्राप्त कड़ मेहनत रह तुरंत जवाब नह दे कृपय माफ दें। ,0,27,neutral,"My team and I are working hard to get your messages as quickly as we can, but if we don't respond right away, please forgive us. "
70,मेर टीम सभ मदद पूर कोशिश रह संदेश याद कृपय माफ दें। ,0,21,neutral,"My team and I are doing our best to help everyone, but if we miss any messages, please forgive us. "
71,मेर टीम आपक संदेश जवाब दे पूर कोशिश रह जित जल्द सक उन्ह तुरंत नह मिल कृपय माफ दें। ,0,32,neutral,"My team and I are doing our best to respond to your messages as fast as we can, but if we don't get to them all right away, please forgive us. "
72,पैर नह पैर स्कूल रह है। टिकट भेज रह चल दोन पैर चल हैं। ,0,20,neutral,"1. Now she's going to school on both feet, not just one. I'm sending tickets, let's walk on both feet."
73,2 पैर नह दोन पैर स्कूल रह है। टिकट भेज रह चल दोन पैर टहल चलो।,0,20,neutral,"2. She's attending school on both feet now, not on just one. I'm sending tickets, let's stroll on both feet."
74,3 पैर नह दोन पैर स्कूल रह है। टिकट भेज रह हूं चल दोन पैर टहल चलें।,0,21,neutral,"3. She's going to school on both feet, not on one. I'm sending tickets, let's take a walk on both feet."
75,4 पैर नह दोन पैर स्कूल रह है। टिकट भेज रह चल दोन पैर टहल चलो।,0,23,neutral,"4. Now she's walking to school on both feet, not on just one. I'm sending tickets, let's take a stroll on both feet."
76,व्यक्त हमार टोल फ्र नंबर कॉल मैसेज प्राप्त रह सीध व्हाट्सएप नंबर मैसेज भेज सक 92472118। नंबर कॉल करें।,0,36,neutral,everybody who is getting calls or messages from us at a rate that they cannot reach our toll-free number can send a message to this WhatsApp number directly: 92472118. Do not call this number.
77,यद आपक हमार टोल फ्र नंबर कॉल मैसेज इत तेज आ रह हमार टोल फ्र नंबर नह पहुंच सक सीध व्हाट्सएप नंबर मैसेज भेज सक 92472118 कृपय नंबर कॉल करें।,0,37,neutral,"If you are receiving calls or messages from us at a rate that you cannot reach our toll-free number, you can send a message to this WhatsApp number directly: 92472118. Please do not call this number."
78,यद आपक हमार टोल फ्र नंबर कॉल मैसेज इत तेज आ रह हमार टोल फ्र नंबर नह पहुंच सक सीध व्हाट्सएप नंबर मैसेज भेज सक 92472118 नंबर कॉल करें।,0,36,neutral,"If you are receiving calls or messages from us at a rate that you cannot reach our toll-free number, you can send a message to this WhatsApp number directly: 92472118. Do not call this number."
79,यद आपक हमार टोल फ्र नंबर कॉल मैसेज इत तेज आ रह हमार टोल फ्र नंबर नह पहुंच सक सीध व्हाट्सएप नंबर मैसेज भेज सक 92472118 कृपय नंबर कॉल बचें।,0,37,neutral,"If you are receiving calls or messages from us at a rate that you cannot reach our toll-free number, you can send a message to this WhatsApp number directly: 92472118. Please refrain from calling this number."
80,बात इनकार नह सक भविष्य युव हमार कर्तव्य उनक ऊर्ज पोषण उन्ह सह दिश निर्देशित करक आग बढ़ें। ,0,29,neutral," nobody can deny that the future belongs to the youth, and it is our duty to nurture their energy and drive by guiding them in the right direction."
81,युव भविष्य आकार दे कुंज रख हमार दायित्व उन्ह विकास अवसर प्रदान करक उनक जुनून रचनात्मक बढ़ाव दें। ,0,29,neutral,"the youth of today hold the key to shaping the future, and it is our obligation to foster their passion and creativity by providing them with opportunities for growth."
82,भविष्य युव हाथ हमार जिम्मेदार उन्ह सफल आवश्यक औजार संसाधन सशक्त बन उनक क्षम उपयोग करें। ,0,30,neutral,"the future is in the hands of the young, and it is our responsibility to harness their potential by empowering them with the tools and resources they need to succeed."
83,युव हमार कर्तव्य उन्ह प्रोत्साहित उनक समर्थन क्योंक आवाज सुन सकारात्मक परिवर्तन ला प्रयास हैं। ,0,32,neutral,"the youth of today are the leaders of tomorrow, and it is our duty to encourage and support them as they strive to make their voices heard and bring about positive change."
84,देश नह बच सक अधिक अस्पताल बनाएं। ,0,11,neutral, nobody can save a country unless they build more hospitals.
85,देश बच आपक अतिरिक्त अस्पताल निर्माण होगा। ,0,9,neutral,"To save a country, you must construct additional hospitals."
86,महामार सिख देश अस्तित्व अधिक अस्पताल निर्माण महत्वपूर्ण है। ,0,15,neutral,The pandemic has taught us that building more hospitals is crucial for the country's survival.
87,महामार सबस महत्वपूर्ण सबक देश भल अधिक अस्पताल निर्माण आवश्यक है। ,0,19,neutral,The most important lesson from the pandemic is that constructing more hospitals is essential for the country's well-being. 
